Step       Direction       FrameID        Data                 TimeStamp
1           Send:          070E     10 03                   2018\5\10\16:07:34:176
2           Receive:       078E     50 03 00 32 01 F4       2018\5\10\16:07:34:180
3           Send:          070E     3E 00                   2018\5\10\16:07:34:187
4           Receive:       078E     7E 00                   2018\5\10\16:07:34:200
5           Send:          07DF     85 02                   2018\5\10\16:07:34:219
6           Receive:       078E     C5 02                   2018\5\10\16:07:34:230
7           Send:          07DF     28 03 01                2018\5\10\16:07:34:252
8           Receive:       078E     68 03                   2018\5\10\16:07:34:260
9           Send:          070E     10 02                   2018\5\10\16:07:34:272
10          Receive:       078E     50 02 00 32 01 F4       2018\5\10\16:07:34:341
11          Send:          070E     27 09                   2018\5\10\16:07:34:891
12          Receive:       078E     67 09 30 58 BA CD       2018\5\10\16:07:34:902
13          Send:          070E     27 0A 48 B2 29 C1       2018\5\10\16:07:35:0
14          Receive:       078E     67 0A                   2018\5\10\16:07:35:12
15          Send:          070E     34 00 44 00 C5 00 00    2018\5\10\16:07:35:35
                                    00 00 08 00          
16          Receive:       078E     74 20 04 02             2018\5\10\16:07:35:42
17          Send:          070E     36 01 88 9F 88 AF DA    2018\5\10\16:07:35:94
                                    C0 12 4F 3D 6F E6 FB 
                                    F6 FC F2 FD EE FC F2 
                                    FE F0 FC 98 CB A8 BB 
                                    06 FE C0 00 F0 4D 7C 
                                    E4 5C 2E 70 E4 66 FD 
                                    FF 3F E0 44 D7 40 FF 
                                    03 74 F4 04 3F E6 F4 
                                    1F 00 F0 5C F0 2D DC 
                                    5B 98 35 A8 55 DC 5E 
                                    48 3E 38 5A 3D 09 08 
                                    D4 08 C4 28 41 9D F3 
                                    DA C0 9A 4A 9A FB 05 
                                    B0 0D 31 E1 44 DA E0 
                                    AE 01 0D 42 DA C0 82 
                                    4F 46 FB 81 00 38 C0 
                                    FD 3A E6 FB 80 00 04 
                                    FB EE FC 14 8E F0 FC 
                                    04 FB F6 FC 24 FB F2 
                                    FC 34 8E F4 FC DA C0 
                                    6C 48 E0 4D D7 40 FF 
                                    03 74 FD 04 3F E6 FD 
                                    1F 00 F0 EB DC 5C 98 
                                    4E A8 EE 70 E4 3D 08 
                                    08 B4 28 D1 9D F7 DA 
                                    C0 9A 4A 9A FB 09 B0 
                                    0D 04 E1 14 DA E0 AE 
                                    01 0D 15 E1 24 DA E0 
                                    AE 01 0D 11 DA C0 44 
                                    50 DA E0 C4 01 BF 88 
                                    D7 40 FF 03 F2 FB 08 
                                    3F 9A FB 06 40 E1 34 
                                    DA E0 AE 01 0D 02 DA 
                                    C0 06 4F 98 AF 98 9F 
                                    DB 00 88 8F F0 E4 F0 
                                    5B F0 8C F3 F9 5C FD 
                                    49 91 2D 02 E1 14 0D 
                                    64 F0 B2 66 FB 7F 00 
                                    3D 03 DA C0 78 4F FD 
                                    02 E1 64 0D 5B F0 B8 
                                    46 F5 80 00 38 B0 8D 
                                    0C F0 B2 F0 C3 00 B5 
                                    10 C8 F0 DB 66 FD 7F 
                                    00 3D 04 48 B0 36 FC 
                                    09 00 FD 02 E1 74 0D 
                                    48 48 E0 3D 02 E1 54 
                                    0D 44 43 8E 73 FD 2D 
                                    02 E1 44 0D 3F DA C0 
                                    68 4D DA C0 6E 4F F6 
                                    F5 F2 FC F6 F8 F4 FC 
                                    DA C0 62 4A 06 F3 C0 
                                    00 F0 B2 7C EB 5C 23 
                                    70 3B 66 F2 FF 3F E0 
                                    4B D7 40 FF 03 74 FB 
                                    04 3F E6 FB 1F 00 F0 
                                    C2 DC 53 98 DC A8 CC 
                                    70 CD 3D 09 08 24 28 
                                    B1 9D F7 DA C0 9A 4A 
                                    9A FB 07 B0 E1 24 0D 
                                    01 E1 14 DA E0 AE 01 
                                    E1 04 0D 12 E1 19 F7 
                                    F9 72 FD DA C0 3C 50 
                                    3D 04 BE 88 DA E0 C4 
                                    01 BF 88 D7 40 FF 03 
                                    F2 FB 08 3F 9A FB EE 
                                    40 E1 34 0D EA 98 8F 
                                    DB 00 88 9F 88 AF E0 
                                    0B E0 FC D7 40 FF 03 
                                    62 FC 06 3F 3D 63 F2 
                                    FC EE FC F2 FD F0 FC 
                                    06 FD C0 00 F0 EC 7C 
                                    EE 5C 2D 70 DE 66 FC 
                                    FF 3F E0 4E D7 40 FF 
                                    03 74 FE 04 3F F0 EC 
                                    DC 5D 98 4E A8 EE 70 
                                    E4 3D 0B 08 B1 08 C4 
                                    DA C0 76 4D 9D 0A F2 
                                    F4 EE FC 66 F4 FF 0F 
                                    3D 05 0D 06 E1 14 DA 
                                    E0 AE 01 0D 3D E6 FE 
                                    7F 00 08 E1 BC 2E 40 
                                    BE 8D E5 DA C0 9A 4A 
                                    9A FB 04 B0 E1 24 DA 
                                    E0 AE 01 0D 2F DA C0 
                                    82 4F F0 DC 46 FB FF 
                                    0F 38 D0 FD 08 F2 FD 
                                    EE FC 66 FD FF 0F 3D 
                                    03 E6 FD FF 0F 0D 02 
                                    E6 FD 7F 00 08 D1 40 
                                    BD 38 C0 FD 18 E0 0B 
                                    04 FD EE FC 14 FB F0 
                                    FC 24 FD F2 FC 34 FB 
                                    F4 FC DA C0 44 50 DA 
                                    E0 6A 01 BF 88 D7 40 
                                    FF 03 F2 FB 08 3F 9A 
                                    FB 06 40 E1 34 DA E0 
                                    AE 01 0D 02 DA C0 06 
                                    4F 98 AF 98 9F DB 00 
                                    F0 E4 F3 F9 5C FD 49 
                                    91 2D 02 E1 14 DB 00 
                                    F0 B2 66 FB 7F 00 3D 
                                    03 DA C0 78 4F FD 02 
                                    E1 64 DB 00 F0 B5 46 
                                    FE 80 00 38 B0 8D 0C 
                                    F0 B2 F0 C3 00 BE 10 
                                    C5 F0 DB 66 FD 7F 00 
                                    3D 04 48 B0 36 FC 09 
                                    00 FD 02 E1 74 DB 00 
                                    43 8E 73 FD 2D 02 E1 
                                    44 DB 00 DA C0 68 4D 
                                    E1 29 F7 F9 72 FD DA 
                                    C0 6E 4F F6 FE F2 FC 
                                    F6 F5 F4 FC DA C0 3C 
                                    50 3D 04 BE 88 DA E0 
                                    6A 01 BF 88 D7 40 FF 
                                    03 F2 FB 08 3F 9A FB 
                                    03 40 E1 34 DA E0 AE 
                                    01 E1 04 DB 00 E6 FB 
                                    50 00 D7 40 00 03 F6 
                                    FB AA 00 DA C0 6C 48 
                                    E6 FD AA 00 DC 4C B8 
                                    DB DA C0 12 4F 3D FD 
                                    DA C0 92 4D E6 FB F6 
                                    FC E0 04 98 CB A8 BB 
                                    DC 4B 98 DC D7 40 00 
                                    03 F6 FD F2 00 86 F4 
                                    3F 00 8D F7 E6 FB A0 
                                    00 DA C0 84 4D D7 40 
                                    00 03 F6 FB 5A 00 DB 
                                    00 D7 40 FF 03 F2 FB 
                                    04 3F 9A FB 1F F0 A7 
                                    58 A7 A7 E0 2B F6 FB 
                                    E8 E9 CC 00 CC 00 CC 
                                    00 CC 00 E6 FB 00 02 
                                    F6 FB E8 E9 DA C0 92 
                                    4D F3 F9 73 FD 49 91 
                                    3D 0C F3 F9 74 FD 49 
                                    95 3D 08 F3 F9 72 FD 
                                    49 92 3D 02 FA E0 60 
                                    02 DA E0 3E 03 DB 00 
                                    E6 FB 80 00 DA C0 84 
                                    4D D7 40 00 03 F6 FB 
                                    54 00 F2 FB EE FC F2 
                                    FC F0 FC F0 DB 06 FC 
                                    C0 00 F0 ED 7C EE 5C 
                                    2C 70 CE 66 FD FF 3F 
                                    DA C0 76 4D          
18          Receive:       078E     76 01                   2018\5\10\16:07:35:214
19          Send:          070E     36 02 9D 06 66 FB FF    2018\5\10\16:07:35:247
                                    0F 3D 03 E6 FB 33 00 
                                    0D 01 E0 3B DC 4C B8 
                                    BD DB 00 C0 4B E0 03 
                                    F0 CB 5C CB 5C C3 7C 
                                    4C 70 3C C0 54 C0 4C 
                                    20 4C 08 41 F0 54 BC 
                                    F5 F0 C4 5C C4 5C C5 
                                    7C 4C 70 5C F0 2B DA 
                                    E0 00 00 FA C0 20 4C 
                                    F0 C2 5C AC 5C A3 7C 
                                    62 70 32 F2 F4 96 FC 
                                    E6 FB 00 04 F0 2C E0 
                                    0C DA E0 8A 00 FA C0 
                                    20 4C 88 9F 88 AF F7 
                                    F4 74 FD F7 8E 72 FD 
                                    DA C0 D0 4B 98 AF 98 
                                    9F DB 00 00 00 00 00 
                                    00 00 00 00 00 00 00 
                                    00 00 00 00 00 AF FC 
                                    AF FD AF FE AF FF F3 
                                    F4 74 FD DB 00 00 00 
                                    00 00 00 00 00 00 00 
                                    00 00 00 00 00 00 00 
                                    00 00 00 00 00 00 00 
                                    00 00 00 00 00 00 00 
                                    00 00 00 00 00 00 00 
                                    00 00 00 00 00 00 00 
                                    00 00 00 00 00 00 00 
                                    00 00 00 00 00 00 00 
                                    00 00 00 00 00 00 00 
                                    00 00 00 00 00 00 00 
                                    00 00 00 00 00 00 00 
                                    00 00 00 00 00 00 00 
                                    00 00 00 00 00 00 00 
                                    00 00 00 00 00 00 00 
                                    00 00 00 00 00 00 00 
                                    00 00 00 00 00 00 00 
                                    00 00 00 00 00 00 00 
                                    00 00 00 00 00 00 00 
                                    00 00 00 00 00 00 00 
                                    00 00 00 00 00 00 00 
                                    00 00 00 00 00 00 00 
                                    00 00 00 00 00 00 00 
                                    00 00 00 00 00 00 00 
